*******************************
  /mnt/c/Users/montb/AppData/LocalLow/VRChat/VRChat/output_log_2024-02-29_01-05-27.txt
*******************************
2024.04.20 19:40:45 Video	'https://www.youtube.com/watch?v=oL4EDRGVW6w'
2024.04.20 19:41:56 Out<<	ほしぞらー
2024.04.20 19:42:42 Video	'https://www.youtube.com/watch?v=V-of_CDv_DU'
2024.04.20 19:45:33 Video	'https://youtu.be/AYOgoCBaAFs?si=QtT_-HOooxCGNX_A'
2024.04.20 19:48:09 Out<<	つくなぎ
2024.04.20 19:48:36 Video	'https://youtu.be/p5M9q2wCllU?si=ddNmzC-XNcjyi0a_'
2024.04.20 19:52:38 Video	'https://youtu.be/4t2FwsgUCuw?si=5emw2e8Y6BKPE937'
2024.04.20 19:54:37 Video	'https://youtu.be/QRRfDwMrWkA?si=MuVImj9Ij9tuiaEr'
2024.04.20 19:56:39 Video	'https://youtu.be/M2ReZNa4lDI?si=YTPxY9uo-XP25JBN'
2024.04.20 19:57:38 Video	'https://youtu.be/6QTqdCHcuNQ?si=7Spls4ruolvRhMHN'
2024.04.20 20:00:50 Video	'https://video.twimg.com/ext_tw_video/1749046403945664512/pu/vid/avc1/960x540/16JUkJm39RRzIwI0.mp4'
2024.04.20 20:01:53 Out<<	シェリル（Cheryl_MC）
2024.04.20 20:02:14 Video	'https://youtu.be/knHvJDuLrtY?si=l8vG8JUhCfGQLk6G'
2024.04.20 20:02:48 In >>	シェリル（Cheryl_MC）
2024.04.20 20:16:22 Video	'https://www.youtube.com/watch?v=ME74bfi4nxc'
2024.04.20 20:22:50 Video	'https://www.youtube.com/watch?v=2_4oXc1rvvI'
2024.04.20 20:28:17 In >>	しろくま。
2024.04.20 20:31:47 In >>	taityan72
2024.04.20 20:33:22 Video	'https://www.youtube.com/watch?v=2_4oXc1rvvI'
2024.04.20 20:33:32 Video	'https://www.youtube.com/watch?v=ALe7wFWXFuE'
2024.04.20 20:36:29 Quit	5955.979
2024.04.20 20:36:29 Out<<	Starcat_JP
2024.04.20 20:36:29 Out<<	もん ／ Montblanc
2024.04.20 20:36:29 Out<<	シェリル（Cheryl_MC）
2024.04.20 20:36:29 Out<<	しろくま。
2024.04.20 20:36:29 Out<<	taityan72
2024.04.20 20:36:31 Quit	5958.012
*******************************
  /mnt/c/Users/montb/AppData/LocalLow/VRChat/VRChat/output_log_2024-04-20_20-37-32.txt
*******************************
2024.04.20 20:37:50 Enter	wrld_531e2ed0-cabe-43d7-ba82-b6933923a36b:04947~friends(usr_75b556cc-f123-44c5-8409-15974da68e89)~region(jp)
2024.04.20 20:38:01 In >>	もん ／ Montblanc
2024.04.20 20:38:02 Video	'https://youtu.be/aJ4MqRfgz6s?si=mj1b3N73sxovYN14'
